dadm_pavadinimas,metai1,fktp_id3,programos_pgl_amziu_pavadinimas2,metai,fktp_id2
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,15
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,29
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2011,158
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,63
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,141
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,237
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,6
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,62
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,81
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,9
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,15
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,29
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2012,238
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,85
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,178
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,266
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,6
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,141
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,121
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,28
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,33
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,41
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2013,273
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,86
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,228
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,277
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,7
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,142
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,149
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,30
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,36
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,42
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2014,302
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,86
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,228
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,277
Marijampolės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,7
Panevėžio apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,142
Šiaulių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,149
Tauragės apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,30
Telšių apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,36
Utenos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,42
Vilniaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2015,302
Alytaus apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,82
Kauno apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,225
Klaipėdos apskr.,,,Kitų profesijų (ne pedagogų) suaugusiųjų švietimo tobulinimo programos,2016,266
